Source \ Target;png;jpeg;jpg;bmp;tiff;gif;webp;ico;docx;odt;txt;xlsx;pptx;pdf
png;N/A;✔;✔;✔;✔;✔;✔;✔;✖;✖;✖;✖;✖;✔
jpeg;✔;N/A;✔;✔;✔;✔;✔;✔;✖;✖;✖;✖;✖;✔
jpg;✔;✔;N/A;✔;✔;✔;✔;✔;✖;✖;✖;✖;✖;✔
bmp;✔;✔;✔;N/A;✔;✔;✔;✔;✖;✖;✖;✖;✖;✔
tiff;✔;✔;✔;✔;N/A;✔;✔;✔;✖;✖;✖;✖;✖;✔
gif;✔;✔;✔;✔;✔;N/A;✔;✔;✖;✖;✖;✖;✖;✔
webp;✔;✔;✔;✔;✔;✔;N/A;✔;✖;✖;✖;✖;✖;✔
ico;✔;✔;✔;✔;✔;✔;✔;N/A;✖;✖;✖;✖;✖;✔
docx;✖;✖;✖;✖;✖;✖;✖;✖;N/A;✔;✔;✖;✖;✔
odt;✖;✖;✖;✖;✖;✖;✖;✖;✔;N/A;✔;✖;✖;✔
txt;✖;✖;✖;✖;✖;✖;✖;✖;✔;✔;N/A;✖;✖;✔
xlsx;✖;✖;✖;✖;✖;✖;✖;✖;✖;✖;✖;N/A;✖;✔
pptx;✖;✖;✖;✖;✖;✖;✖;✖;✖;✖;✖;✖;N/A;✔
pdf;✔;✔;✔;✔;✔;✔;✔;✔;✖;✖;✖;✖;✖;N/A
